symbol,turnover_24h_usd_e9,excluded_reason,coverage_top50_bps,suitable_baskets,measured,window_start_utc_ms,window_secs,events,median_bid_depth_usd_e9,median_ask_depth_usd_e9,depth_check,order_size_e9,order_size_notional_usd_e9,selected_for_pilot,final_rank
HOLOUSDT,2487127865600000,rank_beyond_pool,,,false,,,,,,,,,false,
ENSUSDT,2414823289300000,rank_beyond_pool,,,false,,,,,,,,,false,
WAVESUSDT,2295844937100000,rank_beyond_pool,,,false,,,,,,,,,false,
MUBARAKUSDT,2282796397600000,rank_beyond_pool,,,false,,,,,,,,,false,
ACEUSDT,2220126832000000,rank_beyond_pool,,,false,,,,,,,,,false,
KAITOUSDT,2211520003000000,rank_beyond_pool,,,false,,,,,,,,,false,
LRCUSDT,2207050297700000,rank_beyond_pool,,,false,,,,,,,,,false,
MTLUSDT,2129405912800000,rank_beyond_pool,,,false,,,,,,,,,false,
LAUSDT,2108582656400000,rank_beyond_pool,,,false,,,,,,,,,false,
POETUSDT,2092579497300000,rank_beyond_pool,,,false,,,,,,,,,false,
SAMSUNGUSDT,2089254947100000,rank_beyond_pool,,,false,,,,,,,,,false,
RKLBUSDT,2081142219900000,rank_beyond_pool,,,false,,,,,,,,,false,
PIEVERSEUSDT,2070060460200000,rank_beyond_pool,,,false,,,,,,,,,false,
OPNUSDT,1975524859800000,rank_beyond_pool,,,false,,,,,,,,,false,
ORCAUSDT,1954695828600000,rank_beyond_pool,,,false,,,,,,,,,false,
AMDSTOCKUSDT,1919965386000000,rank_beyond_pool,,,false,,,,,,,,,false,
HEMIUSDT,1896563549500000,rank_beyond_pool,,,false,,,,,,,,,false,
SANDUSDT,1894346169900000,rank_beyond_pool,,,false,,,,,,,,,false,
TAUSDT,1856091585900000,rank_beyond_pool,,,false,,,,,,,,,false,
PAXGUSDT,1841733130900000,rank_beyond_pool,,,false,,,,,,,,,false,
HNTUSDT,1834951662800000,rank_beyond_pool,,,false,,,,,,,,,false,
CAKEUSDT,1820486020700000,rank_beyond_pool,,,false,,,,,,,,,false,
MEGAUSDT,1819055046400000,rank_beyond_pool,,,false,,,,,,,,,false,
IRENUSDT,1816861044000000,rank_beyond_pool,,,false,,,,,,,,,false,
BMNRUSDT,1759391239700000,rank_beyond_pool,,,false,,,,,,,,,false,
LITEUSDT,1758408893300000,rank_beyond_pool,,,false,,,,,,,,,false,
PUFFERUSDT,1729428352400000,rank_beyond_pool,,,false,,,,,,,,,false,
BSPUSDT,1715256501700000,rank_beyond_pool,,,false,,,,,,,,,false,
MAGMAUSDT,1707052411900000,rank_beyond_pool,,,false,,,,,,,,,false,
SIRENUSDT,1667415991900000,rank_beyond_pool,,,false,,,,,,,,,false,
QUSDT,1629068988900000,rank_beyond_pool,,,false,,,,,,,,,false,
RDWUSDT,1628454801000000,rank_beyond_pool,,,false,,,,,,,,,false,
SYRUPUSDT,1627524886300000,rank_beyond_pool,,,false,,,,,,,,,false,
ESPORTSUSDT,1611828889600000,rank_beyond_pool,,,false,,,,,,,,,false,
JASMYUSDT,1606643667600000,rank_beyond_pool,,,false,,,,,,,,,false,
KATUSDT,1606106790700000,rank_beyond_pool,,,false,,,,,,,,,false,
XTZUSDT,1604299239700000,rank_beyond_pool,,,false,,,,,,,,,false,
BLASTUSDT,1602710288600000,rank_beyond_pool,,,false,,,,,,,,,false,
COTIUSDT,1595134205000000,rank_beyond_pool,,,false,,,,,,,,,false,
RUNEUSDT,1591403721600000,rank_beyond_pool,,,false,,,,,,,,,false,
QQQUSDT,1582470027800000,rank_beyond_pool,,,false,,,,,,,,,false,
SAGAUSDT,1581362991100000,rank_beyond_pool,,,false,,,,,,,,,false,
ZORAUSDT,1575816491400000,rank_beyond_pool,,,false,,,,,,,,,false,
BANKUSDT,1574810659000000,rank_beyond_pool,,,false,,,,,,,,,false,
POPCATUSDT,1559995923800000,rank_beyond_pool,,,false,,,,,,,,,false,
SAHARAUSDT,1553843000300000,rank_beyond_pool,,,false,,,,,,,,,false,
CCUSDT,1535279245800000,rank_beyond_pool,,,false,,,,,,,,,false,
WUSDT,1528726056400000,rank_beyond_pool,,,false,,,,,,,,,false,
KNCUSDT,1501336331400000,rank_beyond_pool,,,false,,,,,,,,,false,
ONGUSDT,1475184444500000,rank_beyond_pool,,,false,,,,,,,,,false,
1000000MOGUSDT,1466717714900000,rank_beyond_pool,,,false,,,,,,,,,false,
GIGGLEUSDT,1454913211000000,rank_beyond_pool,,,false,,,,,,,,,false,
REUSDT,1432806972900000,rank_beyond_pool,,,false,,,,,,,,,false,
BILLUSDT,1393182147100000,rank_beyond_pool,,,false,,,,,,,,,false,
ERAUSDT,1391586801900000,rank_beyond_pool,,,false,,,,,,,,,false,
TUTUSDT,1340257565900000,rank_beyond_pool,,,false,,,,,,,,,false,
QCOMUSDT,1319730145700000,rank_beyond_pool,,,false,,,,,,,,,false,
GPROUSDT,1290994347500000,listed_under_30d,,,false,,,,,,,,,false,
APEUSDT,1281597992400000,rank_beyond_pool,,,false,,,,,,,,,false,
MUUUSDT,1272799552300000,rank_beyond_pool,,,false,,,,,,,,,false,
ARKUSDT,1264572441600000,rank_beyond_pool,,,false,,,,,,,,,false,
SOMIUSDT,1259382750100000,rank_beyond_pool,,,false,,,,,,,,,false,
BASEDUSDT,1244770821000000,rank_beyond_pool,,,false,,,,,,,,,false,
DYDXUSDT,1243270540900000,rank_beyond_pool,,,false,,,,,,,,,false,
REZUSDT,1226289740300000,rank_beyond_pool,,,false,,,,,,,,,false,
PLUMEUSDT,1224021791600000,rank_beyond_pool,,,false,,,,,,,,,false,
FOLKSUSDT,1220574474800000,rank_beyond_pool,,,false,,,,,,,,,false,
ETHBTCUSDT,1214910055300000,rank_beyond_pool,,,false,,,,,,,,,false,
CROUSDT,1204190710300000,rank_beyond_pool,,,false,,,,,,,,,false,
GRVTUSDT,1186137482200000,rank_beyond_pool,,,false,,,,,,,,,false,
ONDSUSDT,1185384217100000,rank_beyond_pool,,,false,,,,,,,,,false,
MITOUSDT,1175883662300000,rank_beyond_pool,,,false,,,,,,,,,false,
MEWUSDT,1169426850700000,rank_beyond_pool,,,false,,,,,,,,,false,
BLESSUSDT,1160343885700000,rank_beyond_pool,,,false,,,,,,,,,false,
1000RATSUSDT,1152933576600000,rank_beyond_pool,,,false,,,,,,,,,false,
BNCUSDT,1121866991400000,rank_beyond_pool,,,false,,,,,,,,,false,
CFGUSDT,1117099458300000,rank_beyond_pool,,,false,,,,,,,,,false,
KAIAUSDT,1116787572500000,rank_beyond_pool,,,false,,,,,,,,,false,
SUSHIUSDT,1111180825500000,rank_beyond_pool,,,false,,,,,,,,,false,
AVAAIUSDT,1106922006000000,rank_beyond_pool,,,false,,,,,,,,,false,
JSTUSDT,1082225953900000,rank_beyond_pool,,,false,,,,,,,,,false,
STABLEUSDT,1076927240800000,rank_beyond_pool,,,false,,,,,,,,,false,
WDCUSDT,1072012575500000,rank_beyond_pool,,,false,,,,,,,,,false,
AVGOUSDT,1055115992800000,rank_beyond_pool,,,false,,,,,,,,,false,
FLYUSDT,1048425065400000,rank_beyond_pool,,,false,,,,,,,,,false,
CATIUSDT,1045449353800000,rank_beyond_pool,,,false,,,,,,,,,false,
WALUSDT,1036798231300000,rank_beyond_pool,,,false,,,,,,,,,false,
CBRSUSDT,1036198272600000,rank_beyond_pool,,,false,,,,,,,,,false,
KAVAUSDT,1021209094000000,rank_beyond_pool,,,false,,,,,,,,,false,
ARCUSDT,1018968964800000,rank_beyond_pool,,,false,,,,,,,,,false,
0GUSDT,1015992256200000,rank_beyond_pool,,,false,,,,,,,,,false,
FORMUSDT,1014410425000000,rank_beyond_pool,,,false,,,,,,,,,false,
AAOIUSDT,999917192600000,rank_beyond_pool,,,false,,,,,,,,,false,
DEXEUSDT,991258148700000,rank_beyond_pool,,,false,,,,,,,,,false,
1000FLOKIUSDT,988163649300000,rank_beyond_pool,,,false,,,,,,,,,false,
MINIMAXUSDT,987603601400000,rank_beyond_pool,,,false,,,,,,,,,false,
B3USDT,981198871000000,rank_beyond_pool,,,false,,,,,,,,,false,
BOMEUSDT,959015304100000,rank_beyond_pool,,,false,,,,,,,,,false,
ZAMAUSDT,958810921000000,rank_beyond_pool,,,false,,,,,,,,,false,
BEAMUSDT,935914401500000,rank_beyond_pool,,,false,,,,,,,,,false,
STGUSDT,927818933100000,rank_beyond_pool,,,false,,,,,,,,,false,
PEAQUSDT,922662069300000,rank_beyond_pool,,,false,,,,,,,,,false,
ZKUSDT,917335432200000,rank_beyond_pool,,,false,,,,,,,,,false,
KITEUSDT,915651962500000,rank_beyond_pool,,,false,,,,,,,,,false,
TSEMUSDT,904514431500000,rank_beyond_pool,,,false,,,,,,,,,false,
PEOPLEUSDT,892651370000000,rank_beyond_pool,,,false,,,,,,,,,false,
MOODENGUSDT,887951807600000,rank_beyond_pool,,,false,,,,,,,,,false,
HUMAUSDT,862694833900000,rank_beyond_pool,,,false,,,,,,,,,false,
UMAUSDT,859811685100000,rank_beyond_pool,,,false,,,,,,,,,false,
PIPPINUSDT,859504187800000,rank_beyond_pool,,,false,,,,,,,,,false,
TRIAUSDT,852915589600000,rank_beyond_pool,,,false,,,,,,,,,false,
OPENUSDT,852015581300000,rank_beyond_pool,,,false,,,,,,,,,false,
ANIMEUSDT,851345039200000,rank_beyond_pool,,,false,,,,,,,,,false,
HOMEUSDT,850637130600000,rank_beyond_pool,,,false,,,,,,,,,false,
AXSUSDT,850368109400000,rank_beyond_pool,,,false,,,,,,,,,false,
BIGTIMEUSDT,840303590500000,rank_beyond_pool,,,false,,,,,,,,,false,
SUPERUSDT,838413269700000,rank_beyond_pool,,,false,,,,,,,,,false,
BIRBUSDT,837741602000000,rank_beyond_pool,,,false,,,,,,,,,false,
AVNTUSDT,832314872600000,rank_beyond_pool,,,false,,,,,,,,,false,
GMTUSDT,828861896400000,rank_beyond_pool,,,false,,,,,,,,,false,
BUSDT,826607161500000,rank_beyond_pool,,,false,,,,,,,,,false,
EULUSDT,809270364100000,rank_beyond_pool,,,false,,,,,,,,,false,
MVLLUSDT,808875964800000,rank_beyond_pool,,,false,,,,,,,,,false,
ALCHUSDT,807977472000000,rank_beyond_pool,,,false,,,,,,,,,false,
DOODUSDT,807731706500000,rank_beyond_pool,,,false,,,,,,,,,false,
RVNUSDT,794272733800000,rank_beyond_pool,,,false,,,,,,,,,false,
BABYUSDT,787483707400000,rank_beyond_pool,,,false,,,,,,,,,false,
ARMUSDT,786629237500000,rank_beyond_pool,,,false,,,,,,,,,false,
TQQQUSDT,780662277400000,rank_beyond_pool,,,false,,,,,,,,,false,
NESAUSDT,779723443700000,rank_beyond_pool,,,false,,,,,,,,,false,
ATHUSDT,779510908100000,rank_beyond_pool,,,false,,,,,,,,,false,
ENSOUSDT,778598794700000,rank_beyond_pool,,,false,,,,,,,,,false,
