set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800,pct2 · tk1.75 · 4 ч · без выхода по стене,117,24.5733,-32.7229,57.2961,10,11,287.50761,19,69.2073,20.5735,48.6339,3,6,131.49387000000002,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50be,pct2 · tk1.75 · 4 ч · gone50be,171,3.6366,-17.3049,20.9415,10,11,62.185860000000005,23,19.9525,1.5821,18.3704,4,6,45.890750000000004,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50bex,pct2 · tk1.75 · 4 ч · gone50bex,216,-4.2089,-11.5507,7.3418,8,11,-90.91224,24,20.4005,0.0381,20.3624,3,6,48.961200000000005,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90be,pct2 · tk1.75 · 4 ч · gone90be,152,5.8581,-21.1359,26.994,9,11,89.04312,21,30.0484,3.4364,26.612,3,6,63.101639999999996,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90bex,pct2 · tk1.75 · 4 ч · gone90bex,192,0.6421,-13.7893,14.4313,8,11,12.32832,22,23.469,3.5323,19.9367,3,6,51.6318,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800,pct2 · tk1.75 · 2 ч · без выхода по стене,149,17.1662,-26.1754,43.3416,9,11,255.77638000000002,25,47.3911,5.0377,42.3534,4,6,118.47775000000001,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50be,pct2 · tk1.75 · 2 ч · gone50be,193,5.8962,-14.4049,20.3011,10,11,113.79666,27,4.3438,-2.3931,6.7369,3,6,11.72826,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50bex,pct2 · tk1.75 · 2 ч · gone50bex,232,-1.004,-10.4228,9.4188,8,11,-23.2928,27,9.4348,-2.637,12.0718,3,6,25.473959999999998,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90be,pct2 · tk1.75 · 2 ч · gone90be,177,7.6568,-16.748,24.4048,10,11,135.52536,25,20.0383,-1.2359,21.2742,4,6,50.095749999999995,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90bex,pct2 · tk1.75 · 2 ч · gone90bex,210,2.1429,-12.2675,14.4104,8,11,45.0009,25,13.7394,-1.2436,14.983,3,6,34.3485,да
