symbol,stop_pct,deadline,mmr_pct,max_leverage,risk_limit_usd,adverse_p99_bps,adverse_n,adverse_source,lev_by_stop_k,lev_by_adverse_p99,leverage,margin_per_10k_usd,liq_distance_pct,funding_abs_mean_bps_8h,funding_abs_max_bps_8h
TUSDT,0.5,3600s,2.0,25.0,25000.0,233.0,0,pool,33.3,23.1,23,434.8,2.35,11.191,200.0
TUSDT,1.0,3600s,2.0,25.0,25000.0,233.0,0,pool,25.0,23.1,23,434.8,2.35,11.191,200.0
TUSDT,2.0,3600s,2.0,25.0,25000.0,233.0,0,pool,16.7,23.1,16,625.0,4.25,11.191,200.0
MSTRUSDT,0.5,3600s,1.25,50.0,10000.0,25.4,2,coin,44.4,66.5,44,227.3,1.02,1.621,19.41
MSTRUSDT,1.0,3600s,1.25,50.0,10000.0,25.4,2,coin,30.8,66.5,30,333.3,2.08,1.621,19.41
MSTRUSDT,2.0,3600s,1.25,50.0,10000.0,25.4,2,coin,19.0,66.5,19,526.3,4.01,1.621,19.41
CVCUSDT,0.5,3600s,2.0,25.0,5000.0,66.1,2,coin,33.3,37.6,25,400.0,2.0,5.979,54.837
CVCUSDT,1.0,3600s,2.0,25.0,5000.0,66.1,2,coin,25.0,37.6,25,400.0,2.0,5.979,54.837
CVCUSDT,2.0,3600s,2.0,25.0,5000.0,66.1,2,coin,16.7,37.6,16,625.0,4.25,5.979,54.837
AVAXUSDT,0.5,3600s,0.67,75.0,10000.0,233.0,0,pool,59.9,33.3,33,303.0,2.36,0.62,1.064
AVAXUSDT,1.0,3600s,0.67,75.0,10000.0,233.0,0,pool,37.5,33.3,33,303.0,2.36,0.62,1.064
AVAXUSDT,2.0,3600s,0.67,75.0,10000.0,233.0,0,pool,21.4,33.3,21,476.2,4.09,0.62,1.064
TRUMPUSDT,0.5,3600s,1.0,50.0,10000.0,69.9,15,coin,50.0,58.9,50,200.0,1.0,0.576,3.927
TRUMPUSDT,1.0,3600s,1.0,50.0,10000.0,69.9,15,coin,33.3,58.9,33,303.0,2.03,0.576,3.927
TRUMPUSDT,2.0,3600s,1.0,50.0,10000.0,69.9,15,coin,20.0,58.9,20,500.0,4.0,0.576,3.927
XAGUSDT,0.5,3600s,0.4,150.0,10000.0,43.9,46,coin,71.4,119.2,71,140.8,1.01,0.313,2.136
XAGUSDT,1.0,3600s,0.4,150.0,10000.0,43.9,46,coin,41.7,119.2,41,243.9,2.04,0.313,2.136
XAGUSDT,2.0,3600s,0.4,150.0,10000.0,43.9,46,coin,22.7,119.2,22,454.5,4.15,0.313,2.136
CRCLUSDT,0.5,3600s,1.25,50.0,10000.0,233.0,0,pool,44.4,27.9,27,370.4,2.45,1.161,10.571
CRCLUSDT,1.0,3600s,1.25,50.0,10000.0,233.0,0,pool,30.8,27.9,27,370.4,2.45,1.161,10.571
CRCLUSDT,2.0,3600s,1.25,50.0,10000.0,233.0,0,pool,19.0,27.9,19,526.3,4.01,1.161,10.571
VVVUSDT,0.5,3600s,2.5,20.0,5000.0,233.0,0,pool,28.6,20.7,20,500.0,2.5,0.718,4.607
VVVUSDT,1.0,3600s,2.5,20.0,5000.0,233.0,0,pool,22.2,20.7,20,500.0,2.5,0.718,4.607
VVVUSDT,2.0,3600s,2.5,20.0,5000.0,233.0,0,pool,15.4,20.7,15,666.7,4.17,0.718,4.607
OPUSDT,0.5,3600s,1.0,75.0,10000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,0.935,2.772
OPUSDT,1.0,3600s,1.0,75.0,10000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,0.935,2.772
OPUSDT,2.0,3600s,1.0,75.0,10000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,0.935,2.772
XPLUSDT,0.5,3600s,1.0,75.0,5000.0,53.2,2,coin,50.0,65.3,50,200.0,1.0,0.511,1.32
XPLUSDT,1.0,3600s,1.0,75.0,5000.0,53.2,2,coin,33.3,65.3,33,303.0,2.03,0.511,1.32
XPLUSDT,2.0,3600s,1.0,75.0,5000.0,53.2,2,coin,20.0,65.3,20,500.0,4.0,0.511,1.32
LTCUSDT,0.5,3600s,0.67,75.0,10000.0,30.3,5,coin,59.9,102.8,59,169.5,1.02,0.643,1.0
LTCUSDT,1.0,3600s,0.67,75.0,10000.0,30.3,5,coin,37.5,102.8,37,270.3,2.03,0.643,1.0
