set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90tr1,pct2 · tk1.75 · 2 ч · gone90tr1,655,0.6959,-9.1329,9.8288,11,15,45.58145,162,18.0932,8.0684,10.0248,4,7,293.10983999999996,да
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800,pct2 · tr1x1 · 4 ч · без выхода по стене,507,1.2075,-10.7578,11.9653,10,15,61.22025,129,39.9279,19.9172,20.0107,5,7,515.0699099999999,да
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50tr0.25,pct2 · tr1x1 · 4 ч · gone50tr0.25,880,-2.9701,-6.3542,3.384,11,15,-261.3688,195,12.4521,2.6444,9.8078,6,7,242.81595,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50tr0.5,pct2 · tr1x1 · 4 ч · gone50tr0.5,709,-4.3972,-7.3341,2.9369,8,15,-311.76148,174,21.6727,6.371,15.3017,6,7,377.10497999999995,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50tr1,pct2 · tr1x1 · 4 ч · gone50tr1,571,-1.6565,-8.0866,6.4301,10,15,-94.58615,142,30.4776,14.3916,16.0859,6,7,432.78192,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90,pct2 · tr1x1 · 4 ч · gone90,905,-4.7667,-6.7005,1.9338,9,15,-431.38635000000005,206,15.4721,4.3179,11.1543,6,7,318.72526,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90tr0.25,pct2 · tr1x1 · 4 ч · gone90tr0.25,785,-5.587,-7.0932,1.5062,8,15,-438.5795,184,16.3166,5.6075,10.7091,6,7,300.22544000000005,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90tr0.5,pct2 · tr1x1 · 4 ч · gone90tr0.5,671,-4.6749,-7.8345,3.1596,7,15,-313.68579,171,26.3913,9.106,17.2853,6,7,451.29123,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90tr1,pct2 · tr1x1 · 4 ч · gone90tr1,560,-0.0213,-7.5763,7.555,10,15,-1.1927999999999999,141,34.1269,16.6234,17.5034,6,7,481.18928999999997,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800,pct2 · tr1x1 · 2 ч · без выхода по стене,641,0.9015,-10.2285,11.13,10,15,57.78615,157,21.7858,10.2507,11.5351,5,7,342.03706,да
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50tr0.25,pct2 · tr1x1 · 2 ч · gone50tr0.25,931,-2.488,-6.3063,3.8183,10,15,-231.6328,207,2.9296,0.2933,2.6363,3,7,60.64272000000001,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50tr0.5,pct2 · tr1x1 · 2 ч · gone50tr0.5,778,-2.2837,-7.1244,4.8407,8,15,-177.67186,187,10.3737,3.2459,7.1277,5,7,193.98818999999997,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50tr1,pct2 · tr1x1 · 2 ч · gone50tr1,668,-0.9415,-8.9938,8.0523,10,15,-62.8922,160,12.8315,7.692,5.1395,5,7,205.304,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90,pct2 · tr1x1 · 2 ч · gone90,993,-3.2401,-6.5727,3.3326,10,15,-321.74193,221,5.5775,0.8245,4.753,5,7,123.26274999999998,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90tr0.25,pct2 · tr1x1 · 2 ч · gone90tr0.25,861,-4.6562,-6.7879,2.1317,9,15,-400.89882,198,5.2801,2.0037,3.2764,5,7,104.54598000000001,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90tr0.5,pct2 · tr1x1 · 2 ч · gone90tr0.5,750,-2.5578,-7.6027,5.0449,8,15,-191.83499999999998,185,13.6133,4.8255,8.7878,5,7,251.84605000000002,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90tr1,pct2 · tr1x1 · 2 ч · gone90tr1,662,-0.3876,-8.8691,8.4815,10,15,-25.65912,160,14.2514,8.6547,5.5967,5,7,228.0224,нет
