symbol,side,days,approaches,max_age_min,age_ge_15m,age_ge_30m,age_ge_45m,age_ge_60m,age_ge_90m,age_ge_120m,age45_usd_ge_10k,age45_usd_ge_25k,age45_usd_ge_50k,age45_usd_ge_100k
TIAUSDT,bid,23,36565,200,605,198,86,52,17,8,86,10,0,0
TIAUSDT,ask,23,35329,109,571,187,81,47,6,0,81,31,2,0
TRUMPUSDT,bid,23,147961,498,1065,233,101,64,28,16,101,87,42,10
TRUMPUSDT,ask,23,149427,148,1138,222,80,34,9,2,80,64,14,4
TRXUSDT,bid,23,10016,881,939,602,436,323,187,115,436,367,70,19
TRXUSDT,ask,23,9840,1371,1078,759,565,438,287,181,565,401,43,9
TUSDT,bid,23,513,18,1,0,0,0,0,0,0,0,0,0
TUSDT,ask,23,462,21,1,0,0,0,0,0,0,0,0,0
UAIUSDT,bid,23,655,26,2,0,0,0,0,0,0,0,0,0
UAIUSDT,ask,23,748,18,2,0,0,0,0,0,0,0,0,0
UNIUSDT,bid,23,463752,37,146,9,0,0,0,0,0,0,0,0
UNIUSDT,ask,23,476455,46,164,12,1,0,0,0,1,0,0,0
USELESSUSDT,bid,16,14607,2,0,0,0,0,0,0,0,0,0,0
USELESSUSDT,ask,16,31208,4,0,0,0,0,0,0,0,0,0,0
VIRTUALUSDT,bid,23,51058,72,405,61,9,2,0,0,9,3,2,0
VIRTUALUSDT,ask,23,40336,84,319,57,18,8,0,0,18,5,3,0
VVVUSDT,bid,22,3409,3,0,0,0,0,0,0,0,0,0,0
VVVUSDT,ask,22,3017,1,0,0,0,0,0,0,0,0,0,0
WIFUSDT,bid,23,105823,500,2627,714,246,105,33,15,246,98,6,0
WIFUSDT,ask,23,105325,291,3110,921,363,142,43,27,363,46,3,1
WLDUSDT,bid,23,291973,111,2902,499,103,22,3,0,103,26,2,0
WLDUSDT,ask,23,293818,140,3088,627,145,34,6,3,145,8,0,0
WLFIUSDT,bid,23,23524,317,226,120,73,48,19,9,73,3,1,0
WLFIUSDT,ask,23,37679,325,243,139,81,51,23,11,81,1,0,0
XAGUSDT,bid,23,501839,249,244,92,45,29,12,5,45,31,17,9
XAGUSDT,ask,23,486553,212,257,89,53,36,18,6,53,32,13,2
XAUTUSDT,bid,23,1783162,102,39,11,5,2,1,0,5,2,1,0
XAUTUSDT,ask,23,1904202,69,49,13,3,1,0,0,3,0,0,0
XLMUSDT,bid,23,90123,225,663,96,31,16,6,4,31,31,31,8
XLMUSDT,ask,23,91968,251,431,62,17,11,5,4,17,17,14,7
XMRUSDT,bid,15,29893,0,0,0,0,0,0,0,0,0,0,0
XMRUSDT,ask,15,20928,2,0,0,0,0,0,0,0,0,0,0
XPLUSDT,bid,23,5782,26,13,0,0,0,0,0,0,0,0,0
XPLUSDT,ask,23,7788,33,3,1,0,0,0,0,0,0,0,0
ZROUSDT,bid,23,3944,36,4,1,0,0,0,0,0,0,0,0
ZROUSDT,ask,23,1672,20,1,0,0,0,0,0,0,0,0,0
