set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk2-14400-ttl1800,pct0.75 · tk2 · 4 ч · без выхода по стене,202,3.7234,-8.3534,12.0768,9,15,75.21268,48,52.2267,18.782,33.4446,3,7,250.68816,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk2-3600-ttl1800,pct0.75 · tk2 · 1 ч · без выхода по стене,250,0.6758,-7.3987,8.0745,8,15,16.895,59,35.1264,3.7715,31.3549,4,7,207.24575999999996,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk2-7200-ttl1800,pct0.75 · tk2 · 2 ч · без выхода по стене,221,0.5782,-9.1968,9.775,9,15,12.778220000000001,55,41.7608,9.1647,32.5961,4,7,229.6844,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-1to1-14400-ttl1800-eat20,pct1 · 1to1 · 4 ч · eat20,268,1.7615,-5.5906,7.352,10,14,47.2082,61,14.5169,-0.3303,14.8472,6,7,88.55309,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-1to1-3600-ttl1800-eat20,pct1 · 1to1 · 1 ч · eat20,282,1.6471,-4.7861,6.4333,11,14,46.44822,64,12.731,-0.983,13.7141,6,7,81.4784,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-1to1-7200-ttl1800-eat20,pct1 · 1to1 · 2 ч · eat20,272,1.7271,-5.0604,6.7875,10,14,46.97712,63,13.5529,-0.5842,14.1372,6,7,85.38327,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk0.5-14400-ttl1800,pct1 · tk0.5 · 4 ч · без выхода по стене,221,-0.0507,-9.5128,9.4621,9,15,-1.12047,55,24.4606,-0.5841,25.0447,7,7,134.5333,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk0.5-3600-ttl1800,pct1 · tk0.5 · 1 ч · без выхода по стене,257,-2.6624,-6.5964,3.934,7,15,-68.42368,58,16.1298,-0.7645,16.8943,7,7,93.55283999999999,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk0.5-7200-ttl1800,pct1 · tk0.5 · 2 ч · без выхода по стене,230,0.0504,-8.0979,8.1483,8,15,1.1592,56,23.4672,-0.4023,23.8695,7,7,131.41631999999998,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk0.75-14400-ttl1800,pct1 · tk0.75 · 4 ч · без выхода по стене,211,2.6606,-10.6312,13.2918,10,15,56.13866,53,39.5539,1.0893,38.4646,7,7,209.63566999999998,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk0.75-3600-ttl1800,pct1 · tk0.75 · 1 ч · без выхода по стене,253,-0.399,-7.0182,6.6192,8,15,-10.0947,58,23.8789,0.23,23.6489,6,7,138.49762,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk0.75-7200-ttl1800,pct1 · tk0.75 · 2 ч · без выхода по стене,224,1.6317,-9.2206,10.8523,9,15,36.550079999999994,56,37.116,1.0368,36.0792,7,7,207.8496,да
